,Quote,Author
957,The comic is the perception of the opposite; humor is the feeling of it,Umberto Eco
958,Life is ten percent what happens to you and ninety percent how you respond to it,Lou Holtz
959,"History develops, art stands still",E. M. Forster
960,I hope I never get so old I get religious,Ingmar Bergman
961,"The schizophrenic has no sense of humor. His world is a constantly daunting, unfriendly place",Bob Newhart
962,Maybe that's what life is... a wink of the eye and winking stars,Jack Kerouac
963,Words may be false and full of art; Sighs are the natural language of the heart,Thomas Shadwell
964,"Sleep is good, he said, and books are better",George R.R. Martin
965,The price of anything is the amount of life you exchange for it,Henry David Thoreau
966,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,L.M. Montgomery
967,"You have enemies? Good. That means you've stood up for something, sometime in your life",Winston Churchill
968,"Art is not what you see, but what you make others see",Edgar Degas
969,Denzel Washington has a great sense of humor. He did all those 'Nutty Professor' movies,Seth MacFarlane
970,A man who dares to waste one hour of time has not discovered the value of life,Charles Darwin
971,She was a girl who knew how to be happy even when she was sad. And that’s important—you know,Marilyn Monroe
972,The will to persevere is often the difference between failure and success,David Sarnoff
973,I just am a snob when it comes to humor,Courteney Cox
974,"Art has the power to transform, to illuminate, to educate, inspire and motivate",Harvey Fierstein
975,"I hope people remember me for the kind of person that I am, not because of what I do",Sean Faris
976,"Wherever the art of medicine is loved, there is also a love of humanity",Hippocrates
977,Being happy is of the utmost importance. Success in anything is through happiness,Maharishi Mahesh Yogi
978,"It never seems to occur to some people, that, like beauty, a sense of humor may sometimes be fatal",Edgar Rice Burroughs
979,"If you love life, don't waste time, for time is what life is made up of",Bruce Lee
980,"When you fish for love, bait with your heart, not your brain",Mark Twain
981,In mathematics the art of proposing a question must be held of higher value than solving it,Georg Cantor
982,"When I have a little money, I buy books; and if I have any left, I buy food and clothes",Desiderius Erasmus
983,"Let us read, and let us dance; these two amusements will never do any harm to the world",Voltaire
984,Don't you know that every perfect life would mean the end of art?,Robert Musil
985,I have seven children by six different mothers. Maybe success was too good to me,Eazy-E
986,Humor is the ability to see three sides to one coin,Ned Rorem
987,It's all about quality of life and finding a happy balance between work and friends and family,Philip Green
988,"Love is the best school, but the tuition is high and the homework can be painful",Diane Ackerman
989,"If we knew what it was we were doing, it would not be called research, would it?",Albert Einstein
990,What's meant to be will always find a way,Trisha Yearwood
991,Most people have never learned that one of the main aims in life is to enjoy it,Samuel Butler
992,When hospitality becomes an art it loses its very soul,Max Beerbohm
993,Don't go around saying the world owes you a living. The world owes you nothing. It was here first,Mark Twain
994,Nobody made a greater mistake than he who did nothing because he could do only a little,Edmund Burke
995,"I would challenge you to a battle of wits, but I see you are unarmed!",William Shakespeare
996,"The Wine of Life keeps oozing drop by drop, The Leaves of Life keep falling one by one",Edward Fitzgerald
997,"I love salon days to pamper myself, do my nails",Sania Mirza
998,Faith is taking the first step even when you can't see the whole staircase,Martin Luther King Jr.
999,The superior man makes the difficulty to be overcome his first interest; success only comes later,Confucius
1000,"The story of life is quicker than the blink of an eye, the story of love is hello, goodbye",Jimi Hendrix
1001,"Try as you will, you cannot annihilate that eternal relic of the human heart, love",Victor Hugo
1002,"Every saint has a past, and every sinner has a future",Oscar Wilde
1003,"Success is achieved by developing our strengths, not by eliminating our weaknesses",Marilyn vos Savant
1004,Our life always expresses the result of our dominant thoughts,Soren Kierkegaard
1005,Love places someone else in the centre of your being and your own self is blurred,Mohsin Hamid
1006,An art book is a museum without walls,Andre Malraux
1007,I think the humor of double puns is incredible,Richard Lederer
1008,"I look back on my life like a good day's work, it was done and I am satisfied with it",Grandma Moses
1009,Love involves a peculiar unfathomable combination of understanding and misunderstanding,Diane Arbus
1010,I have no special talents. I am only passionately curious,Albert Einstein
1011,Always do what you are afraid to do,Ralph Waldo Emerson
1012,"Good friends, good books and a sleepy conscience: this is the ideal life",Mark Twain
1013,"If you do what you love, it is the best way to relax",Christian Louboutin
1014,"If my art has nothing to do with people's pain and sorrow, what is 'art' for?",Ai Weiwei
1015,"Women love always: when earth slips from them, they take refuge in heaven",George Sand
1016,Real artists take the misery and sadness of life and translate it into art,Josh Peck
1017,"Wild oats will get sown some time, and one of the arts of life is to sow them at the right time",Richard Le Gallienne
1018,Love is the magician that pulls man out of his own hat,Ben Hecht
1019,I am not young enough to know everything,Oscar Wilde
1020,Man is the only creature who refuses to be what he is,Albert Camus
1021,I've never been a big nightlife person. I have a pretty low-key life,Murray Bartlett
1022,"When thou art above measure angry, bethink thee how momentary is man's life",Marcus Aurelius
1023,"Choose your love, Love your choice",Thomas S. Monson
1024,The planet is fine. The people are fucked,George Carlin
1025,Anybody with a sense of humor is going to put on my album and laugh from beginning to end,Eminem
1026,This love is silent,T. S. Eliot
1027,"Whether you think you can, or you think you can't--you're right",Henry Ford
1028,My type of humor is me not caring whether people know what I'm talking about or not,John Hodgman
1029,That there's no more important decision in life than who you marry,Brad Paisley
1030,"The art challenges the technology, and the technology inspires the art",John Lasseter
1031,"Looking back, I have this to regret, that too often when I loved, I did not say so",Ray Stannard Baker
1032,"All life is a manifestation of the spirit, the manifestation of love",Morihei Ueshiba
1033,A beautiful lady is an accident of nature. A beautiful old lady is a work of art,Louis Nizer
1034,"Life is like an onion. You peel it off one layer at a time, and sometimes you weep",Carl Sandburg
1035,"When work is a pleasure, life is a joy! When work is a duty, life is slavery",Maxim Gorky
1036,"If equal affection cannot be, let the more loving be me",W. H. Auden
1037,Make it a rule never to give a child a book you would not read yourself,George Bernard Shaw
1038,"Once you learn to read, you will be forever free",Frederick Douglass
1039,"When a chick has a sense of humor, there's nothing more attractive",Dylan O'Brien
1040,We forget that the water cycle and the life cycle are one,Jacques Yves Cousteau
1041,Art lies by its own artifice,Ovid
1042,It is impossible to repent of love. The sin of love does not exist,Muriel Spark
1043,"Congratulations, you have a sense of humor. And to those who didn't: Go stick your head in the mud",Jesse Ventura
1044,You cannot live your life looking at yourself from someone else's point of view,Penelope Cruz
1045,Who so loves believes the impossible,Elizabeth Barrett Browning
1046,"Two people in love, alone, isolated from the world, that's beautiful",Milan Kundera
1047,And those who were seen dancing were thought to be insane by those who could not hear the music,Friedrich Nietzsche
1048,"Finding some quiet time in your life, I think, is hugely important",Mariel Hemingway
1049,Each moment of a happy lover's hour is worth an age of dull and common life,Aphra Behn
1050,A man is already halfway in love with any woman who listens to him,Brendan Behan
1051,"You have enemies? Good. That means you've stood up for something, sometime in your life",Winston S. Churchill
1052,"Whenever we witness art in a building, we are aware of an energy contained by it",Arthur Erickson
1053,Do you have to have a reason for loving?,Brigitte Bardot
1054,Great thoughts come from the heart,Luc de Clapiers
1055,"In the end, we will remember not the words of our enemies, but the silence of our friends",Martin Luther King Jr.
1056,Who ever loved that loved not at first sight?,Christopher Marlowe
1057,Where is human nature so weak as in the bookstore?,Henry Ward Beecher
1058,"The measure of life is not its duration, but its donation",Peter Marshall
1059,Art is man's expression of his joy in labor,Henry A. Kissinger
1060,Any time not spent on love is wasted,Torquato Tasso
1061,Talent hits a target no one else can hit. Genius hits a target no one else can see,Arthur Schopenhauer
1062,"There comes a time in every man's life, and I've had plenty of them",Casey Stengel
1063,The history of art is the history of revivals,Samuel Butler
1064,Being in love is the only transcendent experience,Armistead Maupin
1065,"All little girls should be told they are pretty, even if they aren't",Marilyn Monroe
1066,Think of all the beauty still left around you and be happy,Anne Frank
1067,The heart was made to be broken,Oscar Wilde
1068,I generally avoid temptation unless I can't resist it,Mae West
1069,One of the things that binds us as a family is a shared sense of humor,Ralph Fiennes
1070,I don't believe in art. I believe in artists,Marcel Duchamp
1071,The most important thing is to enjoy your life—to be happy—it's all that matters,Audrey Hepburn
1072,I don't see success as the goal. Obedience is the goal,Jerry B. Jenkins
1073,"My love of fine art increased - the more of it I saw, the more of it I wanted to see",J. Paul Getty
1074,"If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?",Albert Einstein
1075,Learning to celebrate success is a key component of learning how to win in the market,Douglas Conant
1076,Love is supreme and unconditional; like is nice but limited,Duke Ellington
1077,"Tell me, what is it you plan to do with your one wild and precious life?",Mary Oliver
1078,Art depends on luck and talent,Francis Ford Coppola
1079,"If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it",W.C. Fields
1080,Some people say my humor focuses too much on stereotypes. It doesn't. It focuses on facts,Sarah Silverman
1081,Art is nature speeded up and God slowed down,Malcolm de Chazal
1082,At the touch of love everyone becomes a poet,Plato
1083,"The companion of an evening, and the companion for life, require very different qualifications",Samuel Richardson
1084,Great art is an instant arrested in eternity,James Huneker
1085,One is loved because one is loved. No reason is needed for loving,Paulo Coelho
1086,I cannot live without books,Thomas Jefferson
1087,"I could not tread these perilous paths in safety, if I did not keep a saving sense of humor",Horatio Nelson
1088,"I realize that protest paintings are not exactly in vogue, but I've done many",Robert Indiana
1089,Everything is clearer when you're in love,John Lennon
1090,The world is a book and those who do not travel read only one page,Augustine of Hippo
1091,Murals in restaurants are on a par with the food in museums,Peter De Vries
1092,"Do not seek the because - in love there is no because, no reason, no explanation, no solutions",Anais Nin
1093,It's not true that I had nothing on. I had the radio on,Marilyn Monroe
1094,"I think of my peace paintings as one long poem, with each painting being a single stanza",Robert Indiana
1095,The richest love is that which submits to the arbitration of time,Lawrence Durrell
1096,"If it gets laughs, it's funny",Rachel Dratch
1097,"Humor distorts nothing, and only false gods are laughed off their earthly pedestals",Agnes Repplier
1098,"It's useless to hold a person to anything he says while he's in love, drunk, or running for office",Shirley MacLaine
1099,The road to success and the road to failure are almost exactly the same,Colin R. Davis
1100,I think God has a tremendous sense of humor,Rainn Wilson
1101,"A life without a lonely place, that is, without a quiet center, becomes destructive",Henri Nouwen
1102,The philistine provides the best definition of art. Anything that makes him rage is first class,Louis Dudek
1103,Falling in love consists merely in uncorking the imagination and bottling the common sense,Helen Rowland
1104,"I did not attend his funeral, but I sent a nice letter saying I approved of it",Mark Twain
1105,What is a friend? A single soul dwelling in two bodies,Aristotle
1106,I've learned to have a sense of humor about myself. Lord knows everyone else does!,Debbie Gibson
1107,My life really began when I married my husband,Nancy Reagan
1108,Art is subject to arbitrary fashion,Kary Mullis
1109,"Only love interests me, and I am only in contact with things that revolve around love",Marc Chagall
1110,Humor is just another defense against the universe,Mel Brooks
1111,"The world is not comprehensible, but it is embraceable: through the embracing of one of its beings",Martin Buber
1112,I can't imagine a man really enjoying a book and reading it only once,C.S. Lewis
1113,"Comedy, we may say, is society protecting itself - with a smile",J. B. Priestley
1114,"Throughout my life, my mom has been the person that I've always looked up to",Mike Krzyzewski
1115,The giving of love is an education in itself,Eleanor Roosevelt
1116,The most courageous act is still to think for yourself. Aloud,Coco Chanel
1117,A joke's a very serious thing,Charles Churchill
1118,"The artist belongs to his work, not the work to the artist",Novalis
1119,"The more one judges, the less one loves",Honore de Balzac
1120,God created war so that Americans would learn geography,Mark Twain
1121,Art is magic delivered from the lie of being truth,Theodor Adorno
1122,The only abnormality is the incapacity to love,Anais Nin
1123,Sometimes success will get in the way of maturity - at least temporarily,Ricky Williams
1124,All great art is born of the metropolis,Ezra Pound
1125,Love is the greatest refreshment in life,Pablo Picasso
1126,The present is the ever moving shadow that divides yesterday from tomorrow. In that lies hope,Frank Lloyd Wright
1127,Absence - that common cure of love,Lord Byron
1128,"Together we can make a world where cancer no longer means living with fear, without hope, or worse",Patrick Swayze
1129,Life is all about having a good time,Miley Cyrus
1130,"An artist carries on throughout his life a mysterious, uninterrupted conversation with his public",Maurice Chevalier
1131,Love is the power to see similarity in the dissimilar,Theodor Adorno
1132,"I have never believed much in luck, and my sense of humor has tended to walk on the dark side",Hunter S. Thompson
1133,Live life for the moment because everything else is uncertain!,Louis Tomlinson
1134,Procrastination is the art of keeping up with yesterday,Don Marquis
1135,People who throw kisses are hopelessly lazy,Bob Hope
1136,Happiness is a warm puppy,Charles M. Schulz
1137,Learning to appreciate those things that aren't related to success has proved the biggest lesson,Chet Faker
1138,Gravitation is not responsible for people falling in love,Albert Einstein
1139,"It is hard enough to remember my opinions, without also remembering my reasons for them!",Friedrich Nietzsche
1140,"Beauty products always cheer me up and give me hope. If it makes you feel pretty, why not?",Salma Hayek
1141,The supreme art of war is to subdue the enemy without fighting,Sun Tzu
1142,"All my life, my heart has yearned for a thing I cannot name",Andre Breton
1143,"I don't know the question, but sex is definitely the answer",Woody Allen
1144,The best proof of love is trust,Joyce Brothers
1145,"It is not the going out of port, but the coming in, that determines the success of a voyage",Henry Ward Beecher
1146,The human foot is a masterpiece of engineering and a work of art,Leonardo da Vinci
1147,Love cures people - both the ones who give it and the ones who receive it,Karl A. Menninger
1148,"I want someone who can keep me on my toes, has a good sense of humor and a good heart",Carmen Electra
1149,"Love possesses not nor will it be possessed, for love is sufficient unto love",Khalil Gibran
1150,Beneath the makeup and behind the smile I am just a girl who wishes for the world,Marilyn Monroe
1151,"Do not go where the path may lead, go instead where there is no path and leave a trail",Ralph Waldo Emerson
1152,A thing is not necessarily true because a man dies for it,Oscar Wilde
1153,Isn't life a series of images that change as they repeat themselves?,Andy Warhol
1154,Only do what your heart tells you,Princess Diana
1155,"When you realize who the good people are in your life, you're so lucky",Sophia Bush
1156,Originality is the fine art of remembering what you hear but forgetting where you heard it,Laurence J. Peter
1157,Love is when you meet someone who tells you something new about yourself,Andre Breton
1158,The most absurd and reckless aspirations have sometimes led to extraordinary success,Luc de Clapiers
1159,"As usual, there is a great woman behind every idiot",John Lennon
1160,Either write something worth reading or do something worth writing,Benjamin Franklin
1161,Your chances of success in any undertaking can always be measured by your belief in yourself,Robert Collier
1162,Hope is like a harebell trembling from its birth,Christina Rossetti
1163,"Art cannot result from sophisticated, frivolous, or superficial effects",Hans Hofmann
1164,Books may well be the only true magic,Alice Hoffman
1165,It is not in the stars to hold our destiny but in ourselves,William Shakespeare
1166,"If we are to judge of love by its consequences, it more nearly resembles hatred than friendship",Francois de La Rochefoucauld
1167,"Transparency, honesty, kindness, good stewardship, even humor, work in businesses at all times",John Gerzema
1168,"The modern work of art, as I have said, is a symbol",Herbert Read
1169,"Love looks through a telescope; envy, through a microscope",Josh Billings
1170,Being crazy isn't enough,Dr. Seuss
1171,Success is attaining your dream while helping others to benefit from that dream materializing,Sugar Ray Leonard
1172,Art will never be able to exist without nature,Pierre Bonnard
1173,We love because it's the only true adventure,Nikki Giovanni
1174,Life can only be understood backwards; but it must be lived forwards,Søren Kierkegaard
1175,Animation is not the art of drawings that move but the art of movements that are drawn,Norman McLaren
1176,Love will draw an elephant through a key-hole,Samuel Richardson
1177,"Somewhere, something incredible is waiting to be known",Carl Sagan
1178,Self-love is the source of all our other loves,Pierre Corneille
1179,Fantasy is hardly an escape from reality. It's a way of understanding it,Lloyd Alexander
1180,Sometimes the only way to deal with horrific things in life is through a dark sense of humor,Margaret Cho
1181,"Architecture is a visual art, and the buildings speak for themselves",Julia Morgan
1182,Love is love's reward,John Dryden
1183,Confidence and a good sense of humor can usually win a chick over,Danny McBride
1184,I refuse to confide and don't like it when people write about art,Balthus
1185,Love has a tide!,Helen Hunt Jackson
1186,Laughter is timeless. Imagination has no age. And dreams are forever,Walt Disney Company
1187,"Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win",Stephen King
1188,what matters most is how well you walk through the fire,Charles Bukowski
1189,I just really love being in my pajamas,Rachel Bilson
1190,You never have to change anything you got up in the middle of the night to write,Saul Bellow
1191,Personality is the most important thing to an actress's success,Mae West
1192,"Above all, be the heroine of your life, not the victim",Nora Ephron
1193,Everybody's got a different sense of humor. It's just different styles,Colin Quinn
1194,"The art of leadership is saying no, not saying yes. It is very easy to say yes",Tony Blair
1195,People's love of sweets and guilty feelings about overindulgence are pretty universal,Will Cotton
1196,"Life is a disease: sexually transmitted, and invariably fatal",Neil Gaiman
1197,Time flies like an arrow; fruit flies like a banana,Anthony G. Oettinger
1198,You cannot protect yourself from sadness without protecting yourself from happiness,Jonathan Safran Foer
1199,Success is more difficult to handle than failure,Ravi Zacharias
1200,"Only in art will the lion lie down with the lamb, and the rose grow without thorn",Martin Amis
1201,I love the smell of juice boxes in the morning,Robert Duvall
1202,Friendship often ends in love; but love in friendship - never,Charles Caleb Colton
1203,A library is not a luxury but one of the necessities of life,Henry Ward Beecher
1204,"On my tombstone, I want written: 'He never did 'Love Boat!'",Orson Welles
1205,Why fit in when you were born to stand out?,Dr. Seuss
1206,"The nicest thing for me is sleep, then at least I can dream",Marilyn Monroe
1207,Rock Hudson wasn't my type. He's a great guy and had a great sense of humor,Tab Hunter
1208,"I love to be comfortable, but I also love to play up the glamour",Jessica Simpson
1209,There are worse crimes than burning books. One of them is not reading them,Joseph Brodsky
1210,In a time of deceit telling the truth is a revolutionary act,George Orwell
1211,Do you know what it's like to love and be alone?,Abraham Polonsky
1212,A girl should be two things: classy and fabulous,Coco Chanel
1213,"I was gratified to be able to answer promptly, and I did. I said I didn’t know",Mark Twain
1214,Diplomacy is the art of saying 'Nice doggie' until you can find a rock,Will Rogers
1215,Moral science is better occupied when treating of friendship than of justice,Thomas Aquinas
1216,I'm not too modest of a person. I've got a pretty blue sense of humor,Michelle Monaghan
1217,The world is full of little dictators trying to run your life,Alan King
1218,"She had lost the art of conversation but not, unfortunately, the power of speech",George Bernard Shaw
1219,Good books don't give up all their secrets at once,Stephen King
1220,"Even though it's tiring, I'm having the time of my life",Big Sean
1221,"I wanted to start a revolution, using art to build the sort of society I myself envisioned",Yayoi Kusama
1222,Everything in the world is about sex except sex. Sex is about power,Oscar Wilde
1223,"I spent most of my life locked in my bedroom, miserable about my raging acne",Moon Unit Zappa
1224,Some people are willing to betray years of friendship just to get a little bit of the spotlight,Lauren Conrad
1225,Russian humor is to adapt or make some sense or nonsense out of the insanity of their lives,Ian Frazier
1226,Art! Who comprehends her? With whom can one consult concerning this great goddess?,Ludwig van Beethoven
1227,I love to beatbox and have been doing it before I even knew what it was,Cara Delevingne
1228,"If I remain true to what's in my heart, that's all the success I need",Steve Vai
1229,With an apple I will astonish Paris,Paul Cezanne
1230,Why should it be essential to love rarely in order to love much?,Albert Camus
1231,Never allow someone to be your priority while allowing yourself to be their option,Mark Twain
1232,One thing my family has shown me is that having a sense of humor is everything,Zoey Deutch
1233,Every production of an artist should be the expression of an adventure of his soul,W. Somerset Maugham
1234,Education is what remains after one has forgotten what one has learned in school,Anonymous
1235,"Friendship may, and often does, grow into love, but love never subsides into friendship",Lord Byron
1236,"I'm afraid that if you look at a thing long enough, it loses all of its meaning",Andy Warhol
1237,I enjoy my fun time and everything like that but I love what I do,Christina Milian
1238,"I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ",Mahatma Gandhi
1239,True friendship ought never to conceal what it thinks,St. Jerome
1240,Success in show business depends on your ability to make and keep friends,Sophie Tucker
1241,"Come, gentlemen, I hope we shall drink down all unkindness",William Shakespeare
1242,"Good humor isn't a trait of character, it is an art which requires practice",David Seabury
1243,"I am a badass, and I recognize that you, too, are a badass",Cassandra Clare
1244,I have loved the stars too fondly to be fearful of the night,Sarah Williams
1245,Fame always brings loneliness. Success is as ice cold and lonely as the North Pole,Vicki Baum
1246,"You don't take a photograph, you make it",Ansel Adams
1247,Some people feel the rain. Others just get wet,Bob Marley
1248,For prayer is nothing else than being on terms of friendship with God,Saint Teresa of Avila
1249,"The more horrifying this world becomes, the more art becomes abstract",Ellen Key
1250,The cure for boredom is curiosity.There is no cure for curiosity,Ellen Parr
1251,I really wasn't even aware that Batman and Superman had this kind of grudging friendship,Mark Valley
1252,Art doesn't transform. It just plain forms,Roy Lichtenstein
1253,Whatever it is you're seeking won't come in the form you're expecting,Haruki Murakami
1254,Try not to become a man of success. Rather become a man of value,Albert Einstein
1255,Turn your wounds into wisdom,Oprah Winfrey
1256,Where there's tea there's hope,Arthur Wing Pinero
1257,Once an object has been incorporated in a picture it accepts a new destiny,Georges Braque
1258,"What you get is a living, what you give is a life",Lillian Gish
1259,A guilty conscience needs to confess. A work of art is a confession,Albert Camus
1260,"You don't suffer, kill yourself and take the risks I take just for money. I love bike racing",Greg LeMond
1261,"Show me a genuine case of platonic friendship, and I shall show you two old or homely faces",Austin O'Malley
1262,In Hollywood a marriage is a success if it outlasts milk,Rita Rudner
1263,A good sense of humor will get you everywhere,Josh Bowman
1264,"The trouble with life isn't that there is no answer, it's that there are so many answers",Ruth Benedict
1265,"A good painting to me has always been like a friend. It keeps me company, comforts and inspires",Hedy Lamarr
1266,Success needs no explanation. Failure does not have one that matters,Jesse Jackson
1267,The reason of my life is not to be the most beautiful woman in the world,Isabella Rossellini
1268,A writer should write with his eyes and a painter paint with his ears,Gertrude Stein
1269,"Neither should a ship rely on one small anchor, nor should life rest on a single hope",Epictetus
1270,That it will never come again is what makes life sweet,Emily Dickinson
1271,Love the art in yourself and not yourself in the art,Constantin Stanislavski
1272,"At the end of the day, we must go forward with hope and not backward by fear and division",Jesse Jackson
1273,Life leaps like a geyser for those who drill through the rock of inertia,Alexis Carrel
1274,Painting is by nature a luminous language,Robert Delaunay
1275,Every child is an artist. The problem is how to remain an artist once he grows up,Pablo Picasso
1276,Love is the attempt to form a friendship inspired by beauty,Marcus Tullius Cicero
1277,To live without Hope is to Cease to live,Fyodor Dostoevsky
1278,"Art is a collaboration between God and the artist, and the less the artist does the better",Andre Gide
1279,It's not denial. I'm just selective about the reality I accept,Bill Watterson
1280,Growth is the only evidence of life,John Henry Newman
1281,Painting is an infinitely minute part of my personality,Salvador Dali
1282,We shouldn't teach great books; we should teach a love of reading,B. F. Skinner
1283,The unexamined life is not worth living,Socrates
1284,You always pass failure on your way to success,Mickey Rooney
1285,"God's mercy and grace give me hope - for myself, and for our world",Billy Graham
1286,"So vast is art, so narrow human wit",Alexander Pope
1287,No medicine cures what happiness cannot,Gabriel Garcí­a Márquez
1288,Sweat makes good friendship cement,Tyne Daly
1289,Life is a moderately good play with a badly written third act,Truman Capote
1290,Art is either plagiarism or revolution,Paul Gauguin
1291,What matters in life is not what happens to you but what you remember and how you remember it,Gabriel Garcí­a Márquez
1292,"Live, travel, adventure, bless, and don't be sorry",Jack Kerouac
1293,How disappointment tracks the steps of hope,Letitia Elizabeth Landon
1294,Every man regards his own life as the New Year's Eve of time,Jean Paul
1295,Drawing is like making an expressive gesture with the advantage of permanence,Henri Matisse
1296,Life itself is the proper binge,Julia Child
1297,You begin with the possibilities of the material,Robert Rauschenberg
1298,My tastes are simple: I am easily satisfied with the best,Winston S. Churchill
1299,"Loyalty to country ALWAYS. Loyalty to government, when it deserves it",Mark Twain
1300,"Picture yourself vividly as winning, and that alone will contribute immeasurably to success",Harry Emerson Fosdick
1301,Things start out as hopes and end up as habits,Lillian Hellman
1302,"Painting is easy when you don't know how, but very difficult when you do",Edgar Degas
1303,"I think God, in creating man, somewhat overestimated his ability",Oscar Wilde
1304,"If you are going through hell, keep going",Winston S. Churchill
1305,One is never ready for success. It consecrates and looses you at the same time,Isabelle Adjani
1306,Life is a zoo in a jungle,Peter De Vries
1307,An artist is a dreamer consenting to dream of the actual world,George Santayana
1308,Who said nights were for sleep?,Marilyn Monroe
1309,Our truest life is when we are in dreams awake,Henry David Thoreau
1310,"If a building becomes architecture, then it is art",Arne Jacobsen
1311,I love life because what more is there?,Anthony Hopkins
1312,"When a man gives his opinion, he's a man. When a woman gives her opinion, she's a bitch",Bette Davis
1313,Uncertainty is the refuge of hope,Henri Frederic Amiel
1314,A picture is worth a thousand words,Unknown
1315,You wouldn't worry so much about what others think of you if you realized how seldom they do,Eleanor Roosevelt
1316,But I like not these great success of yours; for I know how jealous are the gods,Herodotus
1317,"If it were not for hopes, the heart would break",Thomas Fuller
1318,True life is lived when tiny changes occur,Leo Tolstoy
1319,"Art is the right hand of Nature. The latter has only given us being, the former has made us men",Friedrich Schiller
1320,The aged love what is practical while impetuous youth longs only for what is dazzling,Petrarch
1321,Depth of friendship does not depend on length of acquaintance,Rabindranath Tagore
1322,My success isn't a result of arrogance - it's a result of belief,Conor McGregor
1323,"When you say a situation or a person is hopeless, you are slamming the door in the face of God",Charles L. Allen
1324,People haven't always been there for me but music always has,Taylor Swift
1325,A woman who is loved always has success,Vicki Baum
1326,You believe that easily which you hope for earnestly,Terence
1327,Life is something to do when you can't get to sleep,Fran Lebowitz
1328,Nobody realizes that some people expend tremendous energy merely to be normal,Albert Camus
1329,Wrinkles should merely indicate where the smiles have been,Mark Twain
1330,Love is a friendship set to music,Joseph Campbell
1331,"Even if the hopes you started out with are dashed, hope has to be maintained",Seamus Heaney
1332,"To me, if life boils down to one thing, it's movement. To live is to keep moving",Jerry Seinfeld
1333,"If any person wish to be idle, let them fall in love",Ovid
1334,The future belongs to those who believe in the beauty of their dreams,Eleanor Roosevelt
1335,Any fool can know. The point is to understand,Albert Einstein
1336,The essence of true friendship is to make allowance for another's little lapses,David Storey
1337,My hope still is to leave the world a bit better than when I got here,Jim Henson
1338,I am an artist... I am here to live out loud,Emile Zola
1339,"Creating a wonderful drama is an art form, while comedy is just entertainment",Jason Reitman
1340,Woke up this morning with a terrific urge to lie in bed all day and read,Raymond Carver
1341,Freedom is not worth having if it does not include the freedom to make mistakes,Mahatma Gandhi
1342,"Happiness is having a large, loving, caring, close-knit family in another city",George Burns
1343,The ladder of success is never crowded at the top,Napoleon Hill
1344,Life comes from the earth and life returns to the earth,Zhuangzi
1345,Fan the sinking flame of hilarity with the wing of friendship; and pass the rosy wine,Charles Dickens
1346,Find ecstasy in life; the mere sense of living is joy enough,Emily Dickinson
1347,None but ourselves can free our minds,Bob Marley
1348,Women who seek to be equal with men lack ambition,Timothy Leary
1349,"As a lyricist, you love to hear other great lyrics or other great concepts",Alicia Keys
1350,Every day begins with an act of courage and hope: getting out of bed,Mason Cooley
1351,"We are here to add what we can to life, not to get what we can from life",William Osler
1352,I believe in luck: how else can you explain the success of those you dislike?,Jean Cocteau
1353,The most exhausting thing in life is being insincere,Anne Morrow Lindbergh
1354,"Women are our most miraculous muse, an enchanted intangibility that encourages all art",CeeLo Green
1355,I love being outside and getting fresh air,Marisa Tomei
1356,I don't know what can be so dangerous about giving people hope,Joel Osteen
1357,"Once you say you're going to settle for second, that's what happens to you in life",John F. Kennedy
1358,"I look at art as a container. You can't get inside it, so you have to ask all of these questions",Mark Bradford
1359,It is impossible to love and to be wise,Francis Bacon
1360,"If you love someone, you say it, right then, out loud. Otherwise, the moment just passes you by",Julia Roberts
1361,Nobody can hurt me without my permission,Mahatma Gandhi
1362,Education is the most powerful weapon which you can use to change the world,Nelson Mandela
1363,"Even where friendship is concerned, it takes me a long time to trust people",Namie Amuro
1364,The work of art is a scream of freedom,Christo
1365,You cannot have a positive life and a negative mind,Joyce Meyer
1366,Art is I; science is we,Claude Bernard
1367,To enlarge or illustrate this power and effect of love is to set a candle in the sun,Robert Burton
1368,To have success in your professional life is not so hard. To succeed as a man is more difficult,Yann Arthus-Bertrand
1369,Education is not preparation for life; education is life itself,John Dewey
1370,"At the beginning and at the end of love, the two lovers are embarrassed to find themselves alone",Jean de la Bruyere
1371,Life's under no obligation to give us what we expect,Margaret Mitchell
1372,Success usually comes to those who are too busy to be looking for it,Henry David Thoreau
1373,Touch seems to be as essential as sunlight,Diane Ackerman
1374,"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out",J.K. Rowling
1375,The wound is the place where the Light enters you,Rumi
1376,I read so I can live more than one life in more than one place,Anne Tyler
1377,"Love is an act of endless forgiveness, a tender look which becomes a habit",Peter Ustinov
1378,"One day, in retrospect, the years of struggle will strike you as the most beautiful",Sigmund Freud
1379,Don't judge each day by the harvest you reap but by the seeds that you plant,Robert Louis Stevenson
1380,"Studying is something I really love doing, and I just hope to have enough money for tuition",Alexandra Kosteniuk
1381,Our first and last love is self-love,Christian Nestell Bovee
1382,The art of being happy lies in the power of extracting happiness from common things,Henry Ward Beecher
1383,"'Healing,' Papa would tell me, 'is not a science, but the intuitive art of wooing nature.'",W. H. Auden
